date,reform,punitive,reform_velocity,punitive_velocity,cultural_velocity,cultural_velocity_smooth,year,month
2022-12-25,2.0,11.333333333333334,-50.0,9.677419354838701,-59.677419354838705,-33.73309945890591,2022,12
2023-01-01,5.0,13.666666666666666,150.0,20.58823529411764,129.41176470588235,9.602568141467566,2023,1
2023-01-08,7.666666666666667,13.0,53.33333333333334,-4.8780487804877986,58.211382113821145,42.64857582162159,2023,1
2023-01-15,7.666666666666667,13.333333333333334,0.0,2.564102564102577,-2.564102564102577,61.68634808520031,2023,1
2023-01-22,11.333333333333334,15.0,47.82608695652175,12.5,35.32608695652175,30.3244555020801,2023,1
2023-01-29,21.333333333333332,14.333333333333334,88.23529411764703,-4.444444444444439,92.67973856209147,41.81390765150354,2023,1
2023-02-05,15.666666666666666,13.333333333333334,-26.5625,-6.976744186046513,-19.585755813953487,36.14002323488657,2023,2
2023-02-12,12.666666666666666,13.666666666666666,-19.14893617021277,2.499999999999991,-21.648936170212764,17.1483488593084,2023,2
2023-02-19,10.333333333333334,25.0,-18.421052631578938,82.92682926829269,-101.34788189987162,-47.527524628012635,2023,2
2023-02-26,11.666666666666666,14.0,12.903225806451601,-43.99999999999999,56.903225806451594,-22.031197421210937,2023,2
2023-03-05,13.0,12.666666666666666,11.428571428571432,-9.523809523809524,20.952380952380956,-7.830758380346367,2023,3
2023-03-12,9.0,12.333333333333334,-30.76923076923077,-2.631578947368407,-28.137651821862363,16.57265164565672,2023,3
2023-03-19,11.333333333333334,13.0,25.92592592592593,5.405405405405395,20.520520520520535,4.445083217013033,2023,3
2023-03-26,11.666666666666666,12.666666666666666,2.941176470588225,-2.564102564102566,5.5052790346907905,-0.7039507555503555,2023,3
2023-04-02,15.0,12.666666666666666,28.57142857142858,0.0,28.57142857142858,18.199076042213292,2023,4
2023-04-09,10.0,12.0,-33.333333333333336,-5.263157894736836,-28.0701754385965,2.0021773891742805,2023,4
2023-04-16,10.666666666666666,12.333333333333334,6.666666666666665,2.77777777777779,3.888888888888875,1.4633806739069755,2023,4
2023-04-23,10.666666666666666,12.666666666666666,0.0,2.7027027027026973,-2.7027027027026973,-8.96132975080345,2023,4
2023-04-30,10.333333333333334,12.666666666666666,-3.124999999999989,0.0,-3.124999999999989,-0.6462712712712798,2023,4
2023-05-07,10.333333333333334,14.0,0.0,10.526315789473696,-10.526315789473696,-5.451339497392136,2023,5
2023-05-14,8.333333333333334,17.0,-19.354838709677413,21.42857142857142,-40.78341013824883,-18.144908642574183,2023,5
2023-05-21,7.666666666666667,14.0,-8.000000000000007,-17.647058823529417,9.64705882352941,-13.887555701397716,2023,5
2023-05-28,6.0,11.0,-21.739130434782616,-21.42857142857143,-0.3105590062111858,-10.482303440310213,2023,5
2023-06-04,5.0,10.666666666666666,-16.666666666666664,-3.0303030303030387,-13.636363636363626,-1.4332879396818103,2023,6
2023-06-11,6.666666666666667,10.333333333333334,33.33333333333335,-3.124999999999989,36.458333333333336,7.503803563586165,2023,6
2023-06-18,5.0,9.666666666666666,-25.0,-6.451612903225823,-18.548387096774178,1.424527533398501,2023,6
2023-06-25,5.0,10.333333333333334,0.0,6.896551724137945,-6.896551724137945,3.6711315041403947,2023,6
2023-07-02,5.0,10.333333333333334,0.0,0.0,0.0,-8.481646273637383,2023,7
2023-07-09,6.0,9.333333333333334,19.999999999999996,-9.677419354838712,29.677419354838708,7.593622543566912,2023,7
2023-07-16,6.0,9.0,0.0,-3.571428571428581,3.571428571428581,11.082949308755756,2023,7
2023-07-23,5.666666666666667,9.0,-5.5555555555555465,0.0,-5.5555555555555465,9.231097456903905,2023,7
2023-07-30,4.0,8.333333333333334,-29.41176470588236,-7.407407407407396,-22.004357298474964,-7.996161427533987,2023,7
2023-08-06,5.666666666666667,10.333333333333334,41.66666666666667,24.0,17.66666666666667,-3.2977487291212895,2023,8
2023-08-13,5.666666666666667,10.0,0.0,-3.2258064516129115,3.2258064516129115,-0.370628060065137,2023,8
2023-08-20,6.0,9.666666666666666,5.882352941176472,-3.3333333333333437,9.215686274509816,10.036053130929789,2023,8
2023-08-27,6.666666666666667,10.0,11.111111111111116,3.4482758620689724,7.662835249042144,6.701442658388281,2023,8
2023-09-03,8.333333333333334,9.666666666666666,25.0,-3.3333333333333437,28.333333333333343,15.070618285628425,2023,9
2023-09-10,8.0,9.666666666666666,-4.0000000000000036,0.0,-4.0000000000000036,10.665389527458485,2023,9
2023-09-17,8.333333333333334,10.666666666666666,4.166666666666674,10.344827586206895,-6.178160919540221,6.051724137931029,2023,9
2023-09-24,9.333333333333334,11.0,11.99999999999999,3.125,8.87499999999999,-0.4343869731800882,2023,9
2023-10-01,9.0,11.0,-3.571428571428581,0.0,-3.571428571428581,-0.29152983032294727,2023,10
2023-10-08,7.0,10.333333333333334,-22.22222222222222,-6.060606060606055,-16.161616161616166,-3.6193482443482625,2023,10
2023-10-15,7.333333333333333,11.0,4.761904761904767,6.451612903225801,-1.6897081413210335,-7.140917624788604,2023,10
2023-10-22,7.666666666666667,10.666666666666666,4.545454545454564,-3.0303030303030387,7.575757575757603,-3.4251889090598753,2023,10
2023-10-29,8.0,9.666666666666666,4.347826086956519,-9.375,13.72282608695652,6.5362918404643535,2023,10
2023-11-05,8.333333333333334,9.666666666666666,4.166666666666674,0.0,4.166666666666674,8.488416776460257,2023,11
2023-11-12,8.666666666666666,10.0,3.9999999999999813,3.4482758620689724,0.5517241379310089,6.1470722971847245,2023,11
2023-11-19,5.666666666666667,8.333333333333334,-34.615384615384606,-16.666666666666664,-17.948717948717942,-4.410109048040096,2023,11
2023-11-26,8.0,9.666666666666666,41.17647058823528,15.999999999999993,25.17647058823529,2.593158925816109,2023,11
2023-12-03,17.0,8.666666666666666,112.5,-10.344827586206895,122.84482758620689,43.35752674190807,2023,12
2023-12-10,9.666666666666666,10.666666666666666,-43.13725490196079,23.076923076923084,-66.21417797888387,27.2690400651861,2023,12
2023-12-17,5.0,9.0,-48.275862068965516,-15.625,-32.650862068965516,7.993262512785826,2023,12
2023-12-24,3.0,9.333333333333334,-40.0,3.70370370370372,-43.703703703703724,-47.52291458385105,2023,12
2023-12-31,4.333333333333333,11.666666666666666,44.44444444444444,24.99999999999998,19.444444444444464,-18.970040442741603,2023,12
2024-01-07,4.333333333333333,12.333333333333334,0.0,5.714285714285716,-5.714285714285716,-9.991181657848337,2024,1
2024-01-14,6.666666666666667,23.666666666666668,53.846153846153854,91.89189189189189,-38.045738045738034,-8.105193105193107,2024,1
2024-01-21,6.666666666666667,18.333333333333332,0.0,-22.535211267605646,22.535211267605646,-7.074937497472713,2024,1
2024-01-28,7.666666666666667,16.666666666666668,14.999999999999991,-9.090909090909083,24.090909090909072,2.8601274375922165,2024,1
2024-02-04,8.333333333333334,17.333333333333332,8.695652173913038,3.9999999999999813,4.695652173913056,17.107257510809244,2024,2
